[d_loss, g_loss]
1.4666317,-1.4666317
1.4239861,-1.4239861
1.3919541,-1.3919541
1.3799938,-1.3799938
1.3709317,-1.3709317
1.3667511,-1.3667511
1.3677459,-1.3677459
1.3297851,-1.3297851
1.3499709,-1.3499709
1.422487,-1.422487
1.3816375,-1.3816375
1.4121132,-1.4121132
1.4115051,-1.4115051
1.4044516,-1.4044516
1.4247744,-1.4247744
1.3984189,-1.3984189
1.4031155,-1.4031155
1.3804648,-1.3804648
1.3849648,-1.3849648
1.4283736,-1.4283736
1.4121009,-1.4121009
1.4174241,-1.4174241
1.4350762,-1.4350762
1.4034967,-1.4034967
1.3700922,-1.3700922
1.3726487,-1.3726487
1.3698993,-1.3698993
1.3984109,-1.3984109
1.4215264,-1.4215264
1.4382615,-1.4382615
1.3892916,-1.3892916
1.4111102,-1.4111102
1.3884262,-1.3884262
1.3683666,-1.3683666
1.3738606,-1.3738606
1.416861,-1.416861
1.4030648,-1.4030648
1.369237,-1.369237
1.3906856,-1.3906856
1.3803827,-1.3803827
1.3448453,-1.3448453
1.3539197,-1.3539197
1.3612545,-1.3612545
1.3552146,-1.3552146
1.310201,-1.310201
1.3141469,-1.3141469
1.3373699,-1.3373699
1.3236815,-1.3236815
1.3340346,-1.3340346
1.3639047,-1.3639047
1.3245332,-1.3245332
1.3735667,-1.3735667
1.3836329,-1.3836329
1.3624787,-1.3624787
1.3502185,-1.3502185
1.3851234,-1.3851234
1.4045017,-1.4045017
1.3590767,-1.3590767
1.410819,-1.410819
1.3537074,-1.3537074
1.3509159,-1.3509159
1.3803501,-1.3803501
1.3952065,-1.3952065
1.3818204,-1.3818204
1.3819268,-1.3819268
1.3721532,-1.3721532
1.3841442,-1.3841442
1.4489465,-1.4489465
1.4272223,-1.4272223
1.4301188,-1.4301188
1.3857532,-1.3857532
1.4303346,-1.4303346
1.4195875,-1.4195875
1.4187475,-1.4187475
1.4072359,-1.4072359
1.438504,-1.438504
1.3987479,-1.3987479
1.3979506,-1.3979506
1.3923012,-1.3923012
1.3788114,-1.3788114
1.3732214,-1.3732214
1.4223549,-1.4223549
1.429548,-1.429548
1.4481502,-1.4481502
1.4027456,-1.4027456
1.4554136,-1.4554136
1.4523761,-1.4523761
1.4231048,-1.4231048
1.4706192,-1.4706192
1.4521675,-1.4521675
1.4340482,-1.4340482
1.4611267,-1.4611267
1.5011649,-1.5011649
1.4882333,-1.4882333
1.4421743,-1.4421743
1.4778161,-1.4778161
1.4377595,-1.4377595
1.515532,-1.515532
1.4892335,-1.4892335
1.4839411,-1.4839411
1.4895077,-1.4895077
1.5235095,-1.5235095
1.4737642,-1.4737642
1.4621041,-1.4621041
1.4165345,-1.4165345
1.4333997,-1.4333997
1.3855455,-1.3855455
1.3282913,-1.3282913
1.3812258,-1.3812258
1.3605243,-1.3605243
1.3447204,-1.3447204
1.3685722,-1.3685722
1.3648843,-1.3648843
1.3794608,-1.3794608
1.3404753,-1.3404753
1.3474667,-1.3474667
1.3440204,-1.3440204
1.3538018,-1.3538018
1.3592649,-1.3592649
1.3428258,-1.3428258
1.3503286,-1.3503286
1.3378851,-1.3378851
1.3831074,-1.3831074
1.3491662,-1.3491662
1.3867784,-1.3867784
1.3690355,-1.3690355
1.3604188,-1.3604188
1.3554193,-1.3554193
1.3598576,-1.3598576
1.360452,-1.360452
1.468476,-1.468476
1.4716339,-1.4716339
1.4390179,-1.4390179
1.4722501,-1.4722501
1.4758046,-1.4758046
1.450912,-1.450912
1.4577425,-1.4577425
1.4173217,-1.4173217
1.4148893,-1.4148893
1.4406744,-1.4406744
1.3311336,-1.3311336
1.3837742,-1.3837742
1.3766716,-1.3766716
1.4013159,-1.4013159
1.4187397,-1.4187397
1.352491,-1.352491
1.4007034,-1.4007034
1.4274054,-1.4274054
1.3495662,-1.3495662
1.379425,-1.379425
1.3878412,-1.3878412
1.4440331,-1.4440331
1.4066485,-1.4066485
1.3719828,-1.3719828
1.4113373,-1.4113373
1.3840606,-1.3840606
1.3758602,-1.3758602
1.3947678,-1.3947678
1.3847914,-1.3847914
1.3626645,-1.3626645
1.3758539,-1.3758539
1.4684534,-1.4684534
1.3981607,-1.3981607
1.4057113,-1.4057113
1.391994,-1.391994
1.3504481,-1.3504481
1.3725104,-1.3725104
1.366806,-1.366806
1.3675513,-1.3675513
1.3227416,-1.3227416
1.3761461,-1.3761461
1.3611114,-1.3611114
1.355161,-1.355161
1.3418605,-1.3418605
1.45291,-1.45291
1.5115998,-1.5115998
1.4452608,-1.4452608
1.4471831,-1.4471831
1.4402658,-1.4402658
1.4491943,-1.4491943
1.3544909,-1.3544909
1.4063911,-1.4063911
1.3740842,-1.3740842
1.3336637,-1.3336637
1.3304614,-1.3304614
1.3427088,-1.3427088
1.2868252,-1.2868252
1.323971,-1.323971
1.3050122,-1.3050122
1.3224176,-1.3224176
1.3345096,-1.3345096
1.2879992,-1.2879992
1.3224783,-1.3224783
1.2660668,-1.2660668
1.3019881,-1.3019881
1.3476498,-1.3476498
1.2962271,-1.2962271
1.3099505,-1.3099505
1.2910208,-1.2910208
1.3460562,-1.3460562
1.3213215,-1.3213215
1.2583143,-1.2583143
1.4070091,-1.4070091
1.363225,-1.363225
1.3293676,-1.3293676
1.3612132,-1.3612132
1.3465195,-1.3465195
1.3304904,-1.3304904
1.4232249,-1.4232249
1.3962795,-1.3962795
1.4005146,-1.4005146
1.4318615,-1.4318615
1.3620918,-1.3620918
1.4138162,-1.4138162
1.4132206,-1.4132206
1.3670214,-1.3670214
1.4240936,-1.4240936
1.344453,-1.344453
1.3417165,-1.3417165
1.3448969,-1.3448969
1.3191786,-1.3191786
1.3772864,-1.3772864
1.3251967,-1.3251967
1.2929225,-1.2929225
1.3199408,-1.3199408
1.2605333,-1.2605333
1.3519958,-1.3519958
1.340692,-1.340692
1.3921614,-1.3921614
1.3867453,-1.3867453
1.32747,-1.32747
1.3726076,-1.3726076
1.325331,-1.325331
1.3795043,-1.3795043
1.3939412,-1.3939412
1.3302071,-1.3302071
1.377208,-1.377208
1.3185807,-1.3185807
1.400402,-1.400402
1.2686183,-1.2686183
1.3719022,-1.3719022
1.3423588,-1.3423588
1.312567,-1.312567
1.3378927,-1.3378927
1.3283763,-1.3283763
1.3573873,-1.3573873
1.3829738,-1.3829738
1.3982944,-1.3982944
1.3231802,-1.3231802
1.3701406,-1.3701406
1.3521589,-1.3521589
1.302718,-1.302718
1.3853657,-1.3853657
1.3210568,-1.3210568
1.354181,-1.354181
1.3948505,-1.3948505
1.4192109,-1.4192109
1.3605217,-1.3605217
1.4470971,-1.4470971
1.3660825,-1.3660825
1.3341471,-1.3341471
1.3311102,-1.3311102
1.4526387,-1.4526387
1.3257992,-1.3257992
1.4114901,-1.4114901
1.4282652,-1.4282652
1.4446969,-1.4446969
1.406609,-1.406609
1.3663393,-1.3663393
1.3700931,-1.3700931
1.4015582,-1.4015582
1.4039962,-1.4039962
1.411427,-1.411427
1.3758092,-1.3758092
1.376709,-1.376709
1.3473127,-1.3473127
1.3450418,-1.3450418
1.3215785,-1.3215785
1.3178232,-1.3178232
1.2946873,-1.2946873
1.3459474,-1.3459474
1.2627931,-1.2627931
1.2614739,-1.2614739
1.332522,-1.332522
1.2804193,-1.2804193
1.2733822,-1.2733822
1.2384096,-1.2384096
1.4053459,-1.4053459
1.3140378,-1.3140378
1.3379815,-1.3379815
1.4335796,-1.4335796
1.3413432,-1.3413432
1.3589951,-1.3589951
1.2946053,-1.2946053
1.3794745,-1.3794745
1.3397374,-1.3397374
1.3022621,-1.3022621
1.4040656,-1.4040656
1.316734,-1.316734
1.3357842,-1.3357842
1.3330125,-1.3330125
1.3210274,-1.3210274
1.2670562,-1.2670562
1.2977598,-1.2977598
1.2672384,-1.2672384
1.2495928,-1.2495928
1.2282852,-1.2282852
1.2636297,-1.2636297
1.2874253,-1.2874253
1.2801971,-1.2801971
1.2379012,-1.2379012
1.3136417,-1.3136417
1.2925448,-1.2925448
1.2342045,-1.2342045
1.2748212,-1.2748212
1.2406449,-1.2406449
1.2700523,-1.2700523
1.2518721,-1.2518721
1.2870562,-1.2870562
1.1172547,-1.1172547
1.2389007,-1.2389007
1.1344028,-1.1344028
1.2131522,-1.2131522
1.2144833,-1.2144833
1.3751621,-1.3751621
1.4212744,-1.4212744
1.4287806,-1.4287806
1.271801,-1.271801
1.3971429,-1.3971429
1.333709,-1.333709
1.3812541,-1.3812541
1.3455067,-1.3455067
1.336652,-1.336652
1.2382131,-1.2382131
1.1328771,-1.1328771
1.1777323,-1.1777323
1.2083375,-1.2083375
1.1122627,-1.1122627
1.1569338,-1.1569338
1.0986125,-1.0986125
1.0804188,-1.0804188
1.0454731,-1.0454731
1.0826027,-1.0826027
1.0790879,-1.0790879
1.0879009,-1.0879009
1.0735793,-1.0735793
1.1478093,-1.1478093
1.0962297,-1.0962297
1.2093563,-1.2093563
1.15308,-1.15308
1.2129316,-1.2129316
1.2513049,-1.2513049
1.3092885,-1.3092885
1.3481617,-1.3481617
1.3791074,-1.3791074
1.3541193,-1.3541193
1.2883279,-1.2883279
1.1862035,-1.1862035
1.2436138,-1.2436138
1.3323748,-1.3323748
1.2066324,-1.2066324
1.2349154,-1.2349154
1.2227173,-1.2227173
1.2218485,-1.2218485
1.1905371,-1.1905371
1.1456825,-1.1456825
1.2046301,-1.2046301
1.1319883,-1.1319883
1.2759134,-1.2759134
1.2160403,-1.2160403
1.279911,-1.279911
1.3852525,-1.3852525
1.3236668,-1.3236668
1.2604182,-1.2604182
1.2939111,-1.2939111
1.2974147,-1.2974147
1.2289748,-1.2289748
1.2189406,-1.2189406
1.2168863,-1.2168863
1.31048,-1.31048
1.2483298,-1.2483298
1.1993873,-1.1993873
1.1935351,-1.1935351
1.235287,-1.235287
1.2948693,-1.2948693
1.2295752,-1.2295752
1.1816344,-1.1816344
1.1868753,-1.1868753
1.2731327,-1.2731327
1.2468109,-1.2468109
1.3758351,-1.3758351
1.2648222,-1.2648222
1.4172337,-1.4172337
1.4781916,-1.4781916
1.4951029,-1.4951029
1.4707671,-1.4707671
1.3612092,-1.3612092
1.3672752,-1.3672752
1.3412907,-1.3412907
1.2452588,-1.2452588
1.2455705,-1.2455705
1.348803,-1.348803
1.2198309,-1.2198309
