[d_loss, g_loss]
1.4267187,-1.4267187
1.4214158,-1.4214158
1.3944213,-1.3944213
1.4365854,-1.4365854
1.4235103,-1.4235103
1.4359348,-1.4359348
1.4059713,-1.4059713
1.3795443,-1.3795443
1.4170226,-1.4170226
1.3800197,-1.3800197
1.3579566,-1.3579566
1.3334048,-1.3334048
1.3960578,-1.3960578
1.4065657,-1.4065657
1.4481709,-1.4481709
1.4520113,-1.4520113
1.4136705,-1.4136705
1.4212358,-1.4212358
1.4127755,-1.4127755
1.4367985,-1.4367985
1.4307649,-1.4307649
1.436677,-1.436677
1.4373713,-1.4373713
1.4523487,-1.4523487
1.4483464,-1.4483464
1.428272,-1.428272
1.4344151,-1.4344151
1.4070257,-1.4070257
1.4110228,-1.4110228
1.441926,-1.441926
1.4415634,-1.4415634
1.4328779,-1.4328779
1.4251924,-1.4251924
1.4080493,-1.4080493
1.4576259,-1.4576259
1.4329301,-1.4329301
1.437433,-1.437433
1.4501057,-1.4501057
1.4407346,-1.4407346
1.4036099,-1.4036099
1.4244125,-1.4244125
1.4132912,-1.4132912
1.3993009,-1.3993009
1.3852811,-1.3852811
1.4015108,-1.4015108
1.4125841,-1.4125841
1.4381459,-1.4381459
1.4292912,-1.4292912
1.4125037,-1.4125037
1.4091974,-1.4091974
1.4272102,-1.4272102
1.4155778,-1.4155778
1.4215064,-1.4215064
1.492382,-1.492382
1.5087391,-1.5087391
1.4686503,-1.4686503
1.4870518,-1.4870518
1.448015,-1.448015
1.4141047,-1.4141047
1.4337513,-1.4337513
1.4193107,-1.4193107
1.4255768,-1.4255768
1.4206266,-1.4206266
1.4003693,-1.4003693
1.4163741,-1.4163741
1.4339167,-1.4339167
1.4367405,-1.4367405
1.4568266,-1.4568266
1.4399445,-1.4399445
1.4411892,-1.4411892
1.4205858,-1.4205858
1.4376756,-1.4376756
1.4458873,-1.4458873
1.4501901,-1.4501901
1.3986471,-1.3986471
1.3852496,-1.3852496
1.409441,-1.409441
1.4074597,-1.4074597
1.399688,-1.399688
1.3959205,-1.3959205
1.4162703,-1.4162703
1.4413067,-1.4413067
1.422939,-1.422939
1.4328692,-1.4328692
1.4234335,-1.4234335
1.4246801,-1.4246801
1.4464214,-1.4464214
1.4516369,-1.4516369
1.4218084,-1.4218084
1.3810043,-1.3810043
1.4068053,-1.4068053
1.438919,-1.438919
1.4583558,-1.4583558
1.4692788,-1.4692788
1.4723886,-1.4723886
1.4514668,-1.4514668
1.4478698,-1.4478698
1.4528632,-1.4528632
1.4607441,-1.4607441
1.474472,-1.474472
1.459388,-1.459388
1.4378532,-1.4378532
1.455534,-1.455534
1.4292761,-1.4292761
1.4106431,-1.4106431
1.3995703,-1.3995703
1.4014297,-1.4014297
1.399076,-1.399076
1.3702824,-1.3702824
1.3799956,-1.3799956
1.3849406,-1.3849406
1.413379,-1.413379
1.4309099,-1.4309099
1.4184963,-1.4184963
1.4108114,-1.4108114
1.4239842,-1.4239842
1.4287484,-1.4287484
1.4340947,-1.4340947
1.4213434,-1.4213434
1.4328039,-1.4328039
1.4306808,-1.4306808
1.4557433,-1.4557433
1.4408625,-1.4408625
1.4309146,-1.4309146
1.4346786,-1.4346786
1.4261053,-1.4261053
1.452274,-1.452274
1.4303005,-1.4303005
1.418969,-1.418969
1.4181448,-1.4181448
1.417825,-1.417825
1.3924694,-1.3924694
1.3810358,-1.3810358
1.3801956,-1.3801956
1.3605971,-1.3605971
1.3701653,-1.3701653
1.3558116,-1.3558116
1.4053679,-1.4053679
1.4339917,-1.4339917
1.4139063,-1.4139063
1.4261253,-1.4261253
1.4451811,-1.4451811
1.4405957,-1.4405957
1.4481608,-1.4481608
1.4333894,-1.4333894
1.4289417,-1.4289417
1.4313576,-1.4313576
1.4331728,-1.4331728
1.4209557,-1.4209557
1.4182324,-1.4182324
1.4381552,-1.4381552
1.4069986,-1.4069986
1.4077559,-1.4077559
1.4327943,-1.4327943
1.3944027,-1.3944027
1.393914,-1.393914
1.4145103,-1.4145103
1.4075238,-1.4075238
1.4154706,-1.4154706
1.4065197,-1.4065197
1.3957121,-1.3957121
1.4309337,-1.4309337
1.4028333,-1.4028333
1.3941534,-1.3941534
1.4089676,-1.4089676
1.405633,-1.405633
1.414094,-1.414094
1.3962569,-1.3962569
1.3728163,-1.3728163
1.3844092,-1.3844092
1.3832996,-1.3832996
1.3878025,-1.3878025
1.4091489,-1.4091489
1.393511,-1.393511
1.423457,-1.423457
1.3964891,-1.3964891
1.418068,-1.418068
1.3998864,-1.3998864
1.401722,-1.401722
1.4212666,-1.4212666
1.4116077,-1.4116077
1.4136374,-1.4136374
1.4004092,-1.4004092
1.3979356,-1.3979356
1.3854643,-1.3854643
1.3795269,-1.3795269
1.390708,-1.390708
1.380379,-1.380379
1.3705835,-1.3705835
1.4018856,-1.4018856
1.4244354,-1.4244354
1.4019786,-1.4019786
1.4032364,-1.4032364
1.3984901,-1.3984901
1.4046843,-1.4046843
1.4363081,-1.4363081
1.4027967,-1.4027967
1.4012942,-1.4012942
1.3890383,-1.3890383
1.4082587,-1.4082587
1.4164338,-1.4164338
1.386817,-1.386817
1.4156852,-1.4156852
1.3946795,-1.3946795
1.4051286,-1.4051286
1.392206,-1.392206
1.379487,-1.379487
1.3852409,-1.3852409
1.3831599,-1.3831599
1.4110129,-1.4110129
1.3805215,-1.3805215
1.4063202,-1.4063202
1.376945,-1.376945
1.3966424,-1.3966424
1.3955578,-1.3955578
1.3956772,-1.3956772
1.3910857,-1.3910857
1.3976448,-1.3976448
1.3940358,-1.3940358
1.3938816,-1.3938816
1.4142268,-1.4142268
1.3851185,-1.3851185
1.417184,-1.417184
1.4062288,-1.4062288
1.3926312,-1.3926312
1.3776388,-1.3776388
1.3811607,-1.3811607
1.3998939,-1.3998939
1.392173,-1.392173
1.3729331,-1.3729331
1.3795261,-1.3795261
1.3565085,-1.3565085
1.3697389,-1.3697389
1.4104099,-1.4104099
1.4235532,-1.4235532
1.4278371,-1.4278371
1.4290147,-1.4290147
1.4277894,-1.4277894
1.4186686,-1.4186686
1.4314444,-1.4314444
1.4418256,-1.4418256
1.4393244,-1.4393244
1.4215279,-1.4215279
1.4211273,-1.4211273
1.3993946,-1.3993946
1.3883989,-1.3883989
1.3842709,-1.3842709
1.4078625,-1.4078625
1.4011492,-1.4011492
1.3791599,-1.3791599
1.3799621,-1.3799621
1.3921266,-1.3921266
1.3933094,-1.3933094
1.3612225,-1.3612225
1.3893955,-1.3893955
1.3909888,-1.3909888
1.3835294,-1.3835294
1.3738499,-1.3738499
1.3906429,-1.3906429
1.3874907,-1.3874907
1.3778527,-1.3778527
1.4120462,-1.4120462
1.377983,-1.377983
1.3472245,-1.3472245
1.3650889,-1.3650889
1.3905622,-1.3905622
1.3836858,-1.3836858
1.3564398,-1.3564398
1.3915882,-1.3915882
1.3622863,-1.3622863
1.3345487,-1.3345487
1.4266927,-1.4266927
1.4246264,-1.4246264
1.4537622,-1.4537622
1.4521587,-1.4521587
1.4542649,-1.4542649
1.4368821,-1.4368821
1.452249,-1.452249
1.4320524,-1.4320524
1.4440886,-1.4440886
1.4384989,-1.4384989
1.407201,-1.407201
1.4145806,-1.4145806
1.3980796,-1.3980796
1.3864915,-1.3864915
1.427669,-1.427669
1.4047995,-1.4047995
1.4479624,-1.4479624
1.4630144,-1.4630144
1.429845,-1.429845
1.4449279,-1.4449279
1.4596882,-1.4596882
1.4444654,-1.4444654
1.430814,-1.430814
1.4243058,-1.4243058
1.4143292,-1.4143292
1.387397,-1.387397
1.407579,-1.407579
1.3934951,-1.3934951
1.394206,-1.394206
1.4033607,-1.4033607
1.3586094,-1.3586094
1.4249347,-1.4249347
1.3890126,-1.3890126
1.4092126,-1.4092126
1.4189026,-1.4189026
1.4088721,-1.4088721
1.4116831,-1.4116831
1.4167333,-1.4167333
1.3951957,-1.3951957
1.4337995,-1.4337995
1.4202322,-1.4202322
1.4156641,-1.4156641
1.4067447,-1.4067447
1.4309497,-1.4309497
1.4440479,-1.4440479
1.4393739,-1.4393739
1.4625723,-1.4625723
1.4611275,-1.4611275
1.4314358,-1.4314358
1.4191307,-1.4191307
1.4140811,-1.4140811
1.4215207,-1.4215207
1.4095234,-1.4095234
1.4300444,-1.4300444
1.390188,-1.390188
1.4036459,-1.4036459
1.3984866,-1.3984866
1.4169035,-1.4169035
1.3958848,-1.3958848
1.4078157,-1.4078157
1.3960509,-1.3960509
1.3889225,-1.3889225
1.4095824,-1.4095824
1.415925,-1.415925
1.4238849,-1.4238849
1.4118292,-1.4118292
1.3820808,-1.3820808
1.4018583,-1.4018583
1.3967168,-1.3967168
1.4001524,-1.4001524
1.4165008,-1.4165008
1.4200078,-1.4200078
1.4277647,-1.4277647
1.4329548,-1.4329548
1.4123969,-1.4123969
1.4248137,-1.4248137
1.39204,-1.39204
1.4156659,-1.4156659
1.4127606,-1.4127606
1.4115441,-1.4115441
1.3879173,-1.3879173
1.3925043,-1.3925043
1.4104266,-1.4104266
1.4083701,-1.4083701
1.4066848,-1.4066848
1.4152207,-1.4152207
1.3983948,-1.3983948
1.3923299,-1.3923299
1.3811823,-1.3811823
1.3908163,-1.3908163
1.3930023,-1.3930023
1.4016764,-1.4016764
1.3828676,-1.3828676
1.4089,-1.4089
1.3830903,-1.3830903
1.3868089,-1.3868089
1.3749241,-1.3749241
1.3832387,-1.3832387
1.3807225,-1.3807225
1.3801003,-1.3801003
1.3760355,-1.3760355
1.3883209,-1.3883209
1.3608427,-1.3608427
1.3575752,-1.3575752
1.3727583,-1.3727583
1.3805032,-1.3805032
1.4050666,-1.4050666
1.3759016,-1.3759016
1.3774364,-1.3774364
1.3922025,-1.3922025
1.398452,-1.398452
1.3962011,-1.3962011
1.3807554,-1.3807554
1.4123178,-1.4123178
1.3835374,-1.3835374
1.391797,-1.391797
1.4224496,-1.4224496
1.459622,-1.459622
1.4585296,-1.4585296
1.4396172,-1.4396172
1.4165279,-1.4165279
1.3976452,-1.3976452
1.4138986,-1.4138986
1.4057221,-1.4057221
1.4186978,-1.4186978
1.4215192,-1.4215192
1.4284366,-1.4284366
1.4038231,-1.4038231
1.4200064,-1.4200064
1.397299,-1.397299
1.4079493,-1.4079493
1.3875216,-1.3875216
1.3817773,-1.3817773
1.3641478,-1.3641478
1.3813403,-1.3813403
1.3722193,-1.3722193
1.3657179,-1.3657179
1.380543,-1.380543
1.3902545,-1.3902545
1.3904581,-1.3904581
1.3991187,-1.3991187
1.3808995,-1.3808995
1.3984463,-1.3984463
1.3782473,-1.3782473
1.3631357,-1.3631357
1.3736082,-1.3736082
1.3575852,-1.3575852
1.3620789,-1.3620789
1.3975313,-1.3975313
1.3577244,-1.3577244
1.3934317,-1.3934317
1.3705318,-1.3705318
1.3708873,-1.3708873
1.3542961,-1.3542961
1.3574852,-1.3574852
1.3892982,-1.3892982
1.4119751,-1.4119751
1.403569,-1.403569
1.4084657,-1.4084657
1.4111278,-1.4111278
1.3960963,-1.3960963
1.3985248,-1.3985248
1.397872,-1.397872
1.3912282,-1.3912282
1.4035652,-1.4035652
1.432549,-1.432549
1.405808,-1.405808
1.4024688,-1.4024688
1.394028,-1.394028
1.4172468,-1.4172468
1.4370084,-1.4370084
1.4000015,-1.4000015
1.4234387,-1.4234387
1.4307498,-1.4307498
1.4241663,-1.4241663
1.427496,-1.427496
1.3996459,-1.3996459
1.4137108,-1.4137108
1.4096467,-1.4096467
1.3996629,-1.3996629
1.4100589,-1.4100589
1.3905365,-1.3905365
1.425688,-1.425688
1.3869708,-1.3869708
1.3926818,-1.3926818
1.4071947,-1.4071947
1.3961171,-1.3961171
1.366257,-1.366257
1.4041141,-1.4041141
1.3952938,-1.3952938
1.4053265,-1.4053265
1.4001904,-1.4001904
1.4088733,-1.4088733
1.383194,-1.383194
1.3880866,-1.3880866
1.3610072,-1.3610072
1.4001665,-1.4001665
1.4086196,-1.4086196
1.3716204,-1.3716204
1.3739202,-1.3739202
1.3694215,-1.3694215
1.3663914,-1.3663914
1.3896196,-1.3896196
1.3912258,-1.3912258
1.3895967,-1.3895967
1.3815786,-1.3815786
1.3941808,-1.3941808
1.3852377,-1.3852377
1.3708036,-1.3708036
1.3696475,-1.3696475
1.3676851,-1.3676851
1.3631047,-1.3631047
1.3554236,-1.3554236
1.3513387,-1.3513387
1.3690369,-1.3690369
1.3746166,-1.3746166
1.3582122,-1.3582122
1.390569,-1.390569
1.37988,-1.37988
1.382226,-1.382226
1.3962513,-1.3962513
1.4002674,-1.4002674
1.3822101,-1.3822101
1.3843327,-1.3843327
1.3584427,-1.3584427
1.3785021,-1.3785021
1.3853658,-1.3853658
1.3985672,-1.3985672
1.3954852,-1.3954852
1.4012846,-1.4012846
1.397693,-1.397693
1.4355013,-1.4355013
1.4372976,-1.4372976
1.3665138,-1.3665138
1.4034326,-1.4034326
1.4289393,-1.4289393
1.3926282,-1.3926282
1.4032087,-1.4032087
1.4090593,-1.4090593
1.3709342,-1.3709342
1.4097786,-1.4097786
1.3600237,-1.3600237
1.3681575,-1.3681575
1.3538253,-1.3538253
1.3744978,-1.3744978
1.3358305,-1.3358305
1.3568652,-1.3568652
1.3346906,-1.3346906
1.3159845,-1.3159845
1.3115475,-1.3115475
1.3548408,-1.3548408
1.3813477,-1.3813477
1.407609,-1.407609
1.389488,-1.389488
1.4353906,-1.4353906
1.454001,-1.454001
1.3950284,-1.3950284
1.4505199,-1.4505199
1.4281743,-1.4281743
1.4311028,-1.4311028
1.4820114,-1.4820114
1.4486952,-1.4486952
1.4897919,-1.4897919
1.4153633,-1.4153633
1.4234183,-1.4234183
1.4261969,-1.4261969
1.4328895,-1.4328895
1.4176538,-1.4176538
1.4059927,-1.4059927
1.4171941,-1.4171941
1.3779349,-1.3779349
1.3779932,-1.3779932
1.3899288,-1.3899288
1.4302496,-1.4302496
1.4046547,-1.4046547
1.4030097,-1.4030097
1.4276769,-1.4276769
1.4070189,-1.4070189
1.419503,-1.419503
1.3966197,-1.3966197
1.3917854,-1.3917854
1.3870544,-1.3870544
1.397012,-1.397012
1.3689657,-1.3689657
1.3935792,-1.3935792
1.4000397,-1.4000397
1.4181671,-1.4181671
1.397964,-1.397964
1.4087431,-1.4087431
1.3939188,-1.3939188
1.3872023,-1.3872023
1.3834711,-1.3834711
1.3880053,-1.3880053
1.3639172,-1.3639172
1.379633,-1.379633
1.4146574,-1.4146574
1.349059,-1.349059
1.3818674,-1.3818674
1.385955,-1.385955
1.3712459,-1.3712459
1.3844769,-1.3844769
1.3742748,-1.3742748
1.3753325,-1.3753325
1.3520057,-1.3520057
1.3546655,-1.3546655
1.363574,-1.363574
1.3633173,-1.3633173
1.3667941,-1.3667941
1.3650068,-1.3650068
1.3569171,-1.3569171
1.3330156,-1.3330156
1.3450083,-1.3450083
1.3602738,-1.3602738
1.3347222,-1.3347222
1.32634,-1.32634
1.3505228,-1.3505228
1.3613908,-1.3613908
1.3376691,-1.3376691
1.3174932,-1.3174932
1.3676254,-1.3676254
1.3658633,-1.3658633
1.3757064,-1.3757064
1.4256874,-1.4256874
1.4010378,-1.4010378
1.3803673,-1.3803673
1.359591,-1.359591
1.3707621,-1.3707621
1.3858192,-1.3858192
1.3897327,-1.3897327
1.4049563,-1.4049563
1.4502658,-1.4502658
1.3933792,-1.3933792
1.419945,-1.419945
1.433665,-1.433665
1.3845183,-1.3845183
1.4031959,-1.4031959
1.4302986,-1.4302986
1.4211521,-1.4211521
1.432841,-1.432841
1.449212,-1.449212
1.4503496,-1.4503496
1.4362886,-1.4362886
1.4421102,-1.4421102
1.4030018,-1.4030018
1.4037492,-1.4037492
1.429232,-1.429232
1.3947886,-1.3947886
1.3678516,-1.3678516
1.368356,-1.368356
1.3736413,-1.3736413
1.378485,-1.378485
1.3600948,-1.3600948
1.3602902,-1.3602902
1.3589374,-1.3589374
1.4009223,-1.4009223
1.4241245,-1.4241245
1.470859,-1.470859
1.440746,-1.440746
1.43738,-1.43738
1.4496288,-1.4496288
1.4266298,-1.4266298
1.4685967,-1.4685967
1.4306233,-1.4306233
1.4373734,-1.4373734
1.458768,-1.458768
1.4117589,-1.4117589
1.4099932,-1.4099932
1.4053435,-1.4053435
1.404959,-1.404959
1.3831198,-1.3831198
1.3918276,-1.3918276
1.3823464,-1.3823464
1.385665,-1.385665
1.367933,-1.367933
1.3784846,-1.3784846
1.3746552,-1.3746552
1.3665774,-1.3665774
1.3691629,-1.3691629
1.3711914,-1.3711914
1.3659055,-1.3659055
1.3551679,-1.3551679
1.359556,-1.359556
1.3670133,-1.3670133
1.3601089,-1.3601089
1.3413153,-1.3413153
1.3806003,-1.3806003
1.3401818,-1.3401818
1.3569535,-1.3569535
1.3588135,-1.3588135
1.356453,-1.356453
1.3569317,-1.3569317
1.4034388,-1.4034388
1.434404,-1.434404
1.442671,-1.442671
1.4317156,-1.4317156
1.4175774,-1.4175774
1.4298149,-1.4298149
1.457108,-1.457108
1.4354973,-1.4354973
1.438414,-1.438414
1.4120657,-1.4120657
1.4510648,-1.4510648
1.4020863,-1.4020863
1.4130936,-1.4130936
1.414795,-1.414795
1.415139,-1.415139
1.3981403,-1.3981403
1.3607262,-1.3607262
1.3763268,-1.3763268
1.3801255,-1.3801255
1.3688521,-1.3688521
1.3618488,-1.3618488
1.3490676,-1.3490676
1.3294356,-1.3294356
1.348815,-1.348815
1.3952355,-1.3952355
1.406981,-1.406981
