[indiv, fitness, expression]
0,0.6112193465232849,"mult(add(mult(cos(mult(cos(scalar(-0.27370862644160665)), scalar(-0.9254593016934756))), scalar(-0.9254593016934756)), add(cos(scalar(-0.6046307069018759)), y)), add(pow(add(pow(tan(cos(scalar(-0.6046307069018759))), pow(sub(tan(add(cos(scalar(-0.6046307069018759)), scalar(0.439526070775095))), scalar(-0.9775250460035436)), div(div(cos(sub(y, x)), add(abs(cos(cos(y))), abs(add(sub(scalar(-0.8447842489862631), tan(pow(scalar(0.7543670953685757), y))), div(sub(x, scalar(-0.049230102928701225)), scalar(-0.4222474803054437)))))), cos(cos(scalar(-0.27370862644160665)))))), sign(add(div(cos(mult(cos(scalar(-0.27370862644160665)), scalar(-0.9254593016934756))), scalar(-0.4222474803054437)), div(add(add(abs(add(cos(scalar(-0.6046307069018759)), x)), pow(tan(cos(y)), pow(scalar(-0.6046307069018759), div(x, scalar(-0.4222474803054437))))), div(sub(y, scalar(-0.04088180554544718)), add(cos(scalar(-0.6046307069018759)), x))), scalar(-0.4222474803054437))))), div(div(mult(add(sub(y, tan(cos(scalar(-0.6046307069018759)))), div(x, scalar(-0.4222474803054437))), scalar(-0.6310426012754784)), div(y, cos(sub(y, scalar(-0.04088180554544718))))), sub(add(x, x), sub(abs(add(sub(scalar(-0.8447842489862631), tan(pow(scalar(-0.6046307069018759), y))), div(x, scalar(-0.4222474803054437)))), add(x, x))))), sign(cos(scalar(-0.6046307069018759)))))"
1,0.6111594438552856,"mult(add(mult(cos(mult(cos(scalar(-0.27370862644160665)), scalar(-0.9254593016934756))), scalar(-0.9254593016934756)), add(cos(scalar(-0.6046307069018759)), y)), add(pow(add(pow(tan(cos(scalar(-0.6046307069018759))), pow(sub(tan(add(cos(scalar(-0.6046307069018759)), scalar(0.439526070775095))), scalar(-0.9775250460035436)), div(div(cos(sub(y, x)), add(abs(cos(cos(y))), abs(add(sub(scalar(-0.8447842489862631), tan(pow(scalar(0.7543670953685757), y))), div(x, scalar(-0.4222474803054437)))))), cos(cos(scalar(-0.27370862644160665)))))), sign(add(div(cos(mult(cos(scalar(-0.27370862644160665)), scalar(-0.9254593016934756))), scalar(-0.4222474803054437)), div(add(add(abs(add(cos(scalar(-0.6046307069018759)), x)), pow(tan(cos(y)), pow(scalar(-0.6046307069018759), div(x, scalar(-0.4222474803054437))))), div(sub(y, scalar(-0.04088180554544718)), add(cos(scalar(-0.6046307069018759)), x))), scalar(-0.4222474803054437))))), div(div(mult(add(sub(y, tan(cos(scalar(-0.6046307069018759)))), div(x, scalar(-0.4222474803054437))), scalar(-0.6310426012754784)), div(y, cos(sub(y, scalar(-0.04088180554544718))))), sub(add(x, x), sub(abs(add(sub(scalar(-0.8447842489862631), tan(pow(scalar(-0.6046307069018759), y))), div(x, scalar(-0.4222474803054437)))), x)))), sign(cos(scalar(-0.6046307069018759)))))"
2,0.6111594438552856,"mult(add(mult(cos(mult(cos(scalar(-0.27370862644160665)), scalar(-0.9254593016934756))), scalar(-0.9254593016934756)), add(cos(scalar(-0.6046307069018759)), y)), add(pow(add(pow(tan(cos(scalar(-0.6046307069018759))), pow(sub(tan(add(cos(scalar(-0.6046307069018759)), scalar(0.439526070775095))), scalar(-0.9775250460035436)), div(div(cos(sub(y, x)), add(abs(cos(cos(y))), abs(add(sub(scalar(-0.8447842489862631), tan(pow(scalar(0.7543670953685757), y))), div(x, scalar(-0.4222474803054437)))))), cos(cos(scalar(-0.27370862644160665)))))), sign(add(div(cos(mult(cos(scalar(-0.27370862644160665)), scalar(-0.9254593016934756))), scalar(-0.4222474803054437)), div(add(add(abs(add(cos(scalar(-0.6046307069018759)), x)), pow(tan(cos(y)), pow(scalar(-0.6046307069018759), div(x, scalar(-0.4222474803054437))))), div(sub(y, scalar(-0.04088180554544718)), add(cos(scalar(-0.6046307069018759)), x))), scalar(-0.4222474803054437))))), div(div(mult(add(sub(y, tan(cos(scalar(-0.6046307069018759)))), div(x, scalar(-0.4222474803054437))), scalar(-0.6310426012754784)), div(y, cos(sub(y, scalar(-0.04088180554544718))))), sub(add(x, x), sub(abs(add(sub(scalar(-0.8447842489862631), tan(pow(scalar(-0.6046307069018759), y))), div(x, scalar(-0.4222474803054437)))), x)))), sign(cos(scalar(-0.6046307069018759)))))"
3,0.6111594438552856,"mult(add(mult(cos(mult(cos(scalar(-0.27370862644160665)), scalar(-0.9254593016934756))), scalar(-0.9254593016934756)), add(cos(scalar(-0.6046307069018759)), y)), add(pow(add(pow(tan(cos(scalar(-0.6046307069018759))), pow(sub(tan(add(cos(scalar(-0.6046307069018759)), scalar(0.439526070775095))), scalar(-0.9775250460035436)), div(div(cos(sub(y, x)), add(abs(cos(cos(y))), abs(add(sub(scalar(-0.8447842489862631), tan(pow(scalar(0.7543670953685757), y))), div(x, scalar(-0.4222474803054437)))))), cos(cos(scalar(-0.27370862644160665)))))), sign(add(div(cos(mult(cos(scalar(-0.27370862644160665)), scalar(-0.9254593016934756))), scalar(-0.4222474803054437)), div(add(add(abs(add(cos(scalar(-0.6046307069018759)), x)), pow(tan(cos(y)), pow(scalar(-0.6046307069018759), div(x, scalar(-0.4222474803054437))))), div(sub(y, scalar(-0.04088180554544718)), add(cos(scalar(-0.6046307069018759)), x))), scalar(-0.4222474803054437))))), div(div(mult(add(sub(y, tan(cos(scalar(-0.6046307069018759)))), div(x, scalar(-0.4222474803054437))), scalar(-0.6310426012754784)), div(y, cos(sub(y, scalar(-0.04088180554544718))))), sub(add(x, x), sub(abs(add(sub(scalar(-0.8447842489862631), tan(pow(scalar(-0.6046307069018759), y))), div(x, scalar(-0.4222474803054437)))), x)))), sign(cos(scalar(-0.6046307069018759)))))"
4,0.6089223623275757,"mult(add(mult(cos(mult(cos(scalar(-0.27370862644160665)), scalar(-0.9254593016934756))), scalar(-0.9254593016934756)), add(cos(scalar(-0.6046307069018759)), y)), add(pow(add(pow(tan(cos(scalar(-0.6046307069018759))), pow(sub(tan(add(cos(scalar(-0.6046307069018759)), scalar(0.439526070775095))), scalar(-0.9775250460035436)), div(div(cos(sub(y, x)), add(abs(cos(cos(y))), abs(add(sub(scalar(-0.8447842489862631), tan(pow(scalar(0.7543670953685757), y))), div(x, scalar(-0.4222474803054437)))))), cos(cos(scalar(-0.27370862644160665)))))), sign(add(div(cos(mult(cos(scalar(-0.27370862644160665)), scalar(-0.9254593016934756))), scalar(-0.4222474803054437)), div(add(add(abs(add(cos(scalar(-0.6046307069018759)), x)), pow(tan(cos(y)), pow(cos(scalar(-0.27370862644160665)), div(x, scalar(-0.4222474803054437))))), div(sub(y, scalar(-0.04088180554544718)), add(cos(scalar(-0.6046307069018759)), x))), scalar(-0.4222474803054437))))), div(div(mult(add(sub(y, tan(cos(abs(scalar(-0.27370862644160665))))), div(x, scalar(-0.4222474803054437))), scalar(-0.6310426012754784)), div(y, cos(sub(y, scalar(-0.04088180554544718))))), sub(add(x, x), sub(abs(add(sub(scalar(-0.8447842489862631), tan(pow(scalar(-0.6046307069018759), y))), div(x, scalar(-0.4222474803054437)))), x)))), sign(cos(scalar(-0.6046307069018759)))))"
5,0.6067278981208801,"mult(add(mult(scalar(-0.6046307069018759), scalar(-0.9254593016934756)), add(scalar(-0.6046307069018759), y)), add(pow(add(pow(tan(cos(scalar(-0.6046307069018759))), pow(sub(tan(add(cos(scalar(-0.6046307069018759)), scalar(0.439526070775095))), scalar(-0.9775250460035436)), div(div(cos(sub(y, x)), add(abs(cos(cos(y))), abs(add(sub(scalar(-0.8447842489862631), tan(pow(scalar(0.7543670953685757), y))), div(x, scalar(-0.4222474803054437)))))), cos(cos(scalar(-0.27370862644160665)))))), sign(add(div(cos(mult(cos(scalar(-0.27370862644160665)), scalar(-0.9254593016934756))), scalar(-0.4222474803054437)), div(add(add(abs(add(cos(scalar(-0.6046307069018759)), x)), pow(tan(cos(y)), pow(scalar(-0.6046307069018759), div(x, scalar(-0.4222474803054437))))), div(sub(y, scalar(-0.04088180554544718)), add(cos(scalar(-0.6046307069018759)), x))), scalar(-0.4222474803054437))))), div(div(mult(add(sub(cos(cos(scalar(-0.27370862644160665))), tan(cos(abs(scalar(-0.27370862644160665))))), div(x, scalar(-0.4222474803054437))), scalar(-0.6310426012754784)), div(y, cos(sub(y, scalar(-0.04088180554544718))))), sub(add(x, x), sub(abs(add(sub(scalar(-0.8447842489862631), tan(pow(scalar(-0.6046307069018759), y))), div(x, scalar(-0.4222474803054437)))), x)))), sign(cos(scalar(-0.6046307069018759)))))"
6,0.6067278981208801,"mult(add(mult(scalar(-0.6046307069018759), scalar(-0.9254593016934756)), add(scalar(-0.6046307069018759), y)), add(pow(add(pow(tan(cos(scalar(-0.6046307069018759))), pow(sub(tan(add(cos(scalar(-0.6046307069018759)), scalar(0.439526070775095))), scalar(-0.9775250460035436)), div(div(cos(sub(y, x)), add(abs(cos(cos(y))), abs(add(sub(scalar(-0.8447842489862631), tan(pow(scalar(0.7543670953685757), y))), div(x, scalar(-0.4222474803054437)))))), cos(cos(scalar(-0.27370862644160665)))))), sign(add(div(cos(mult(cos(scalar(-0.27370862644160665)), scalar(-0.9254593016934756))), scalar(-0.4222474803054437)), div(add(add(abs(add(cos(scalar(-0.6046307069018759)), x)), pow(tan(cos(y)), pow(scalar(-0.6046307069018759), div(x, scalar(-0.4222474803054437))))), div(sub(y, scalar(-0.04088180554544718)), add(cos(scalar(-0.6046307069018759)), x))), scalar(-0.4222474803054437))))), div(div(mult(add(sub(cos(cos(scalar(-0.27370862644160665))), tan(cos(abs(scalar(-0.27370862644160665))))), div(x, scalar(-0.4222474803054437))), scalar(-0.6310426012754784)), div(y, cos(sub(y, scalar(-0.04088180554544718))))), sub(add(x, x), sub(abs(add(sub(scalar(-0.8447842489862631), tan(pow(scalar(-0.6046307069018759), y))), div(x, scalar(-0.4222474803054437)))), x)))), sign(cos(scalar(-0.6046307069018759)))))"
7,0.6042686700820923,"mult(add(scalar(-0.34945985145244496), scalar(0.439526070775095)), add(pow(add(pow(tan(cos(scalar(-0.6046307069018759))), pow(tan(tan(add(scalar(-0.34945985145244496), scalar(0.439526070775095)))), div(div(cos(add(tan(tan(cos(scalar(-0.6046307069018759)))), add(y, y))), div(x, cos(add(pow(x, y), div(div(mult(x, scalar(-0.4222474803054437)), x), cos(sign(scalar(-0.6046307069018759)))))))), abs(scalar(-0.6046307069018759))))), sign(add(div(x, scalar(-0.4222474803054437)), div(add(add(abs(cos(scalar(-0.6046307069018759))), abs(div(x, scalar(-0.4222474803054437)))), div(div(div(x, sign(add(cos(scalar(-0.6046307069018759)), x))), add(sub(scalar(-0.8447842489862631), scalar(-0.34945985145244496)), div(x, scalar(-0.4222474803054437)))), add(cos(scalar(-0.6046307069018759)), x))), scalar(-0.4222474803054437))))), div(div(sign(add(scalar(-0.34945985145244496), div(x, scalar(-0.4222474803054437)))), div(y, cos(scalar(-0.6046307069018759)))), sub(mult(x, scalar(-0.4222474803054437)), sub(y, scalar(-0.04088180554544718))))), sign(cos(sign(scalar(-0.6046307069018759))))))"
8,0.6042686700820923,"mult(add(scalar(-0.34945985145244496), scalar(0.439526070775095)), add(pow(add(pow(tan(cos(scalar(-0.6046307069018759))), pow(tan(tan(add(scalar(-0.34945985145244496), scalar(0.439526070775095)))), div(div(cos(add(tan(tan(cos(scalar(-0.6046307069018759)))), add(y, y))), div(x, cos(add(pow(x, y), div(div(mult(x, scalar(-0.4222474803054437)), x), cos(sign(scalar(-0.6046307069018759)))))))), abs(scalar(-0.6046307069018759))))), sign(add(div(x, scalar(-0.4222474803054437)), div(add(add(abs(cos(scalar(-0.6046307069018759))), abs(div(x, scalar(-0.4222474803054437)))), div(div(div(x, sign(add(cos(scalar(-0.6046307069018759)), x))), add(sub(scalar(-0.8447842489862631), scalar(-0.34945985145244496)), div(x, scalar(-0.4222474803054437)))), add(cos(scalar(-0.6046307069018759)), x))), scalar(-0.4222474803054437))))), div(div(sign(add(scalar(-0.34945985145244496), div(x, scalar(-0.4222474803054437)))), div(y, cos(scalar(-0.6046307069018759)))), sub(mult(x, scalar(-0.4222474803054437)), sub(y, scalar(-0.04088180554544718))))), sign(tan(cos(scalar(-0.6046307069018759))))))"
9,0.6042686700820923,"mult(add(scalar(-0.34945985145244496), scalar(0.439526070775095)), add(pow(add(pow(tan(cos(scalar(-0.6046307069018759))), pow(tan(tan(add(scalar(-0.34945985145244496), scalar(0.439526070775095)))), div(div(cos(add(tan(tan(cos(scalar(-0.6046307069018759)))), add(y, y))), div(x, cos(add(pow(x, y), div(div(mult(x, scalar(-0.4222474803054437)), x), cos(sign(scalar(-0.6046307069018759)))))))), abs(scalar(-0.6046307069018759))))), sign(add(div(x, scalar(-0.4222474803054437)), div(add(add(abs(cos(scalar(-0.6046307069018759))), abs(div(x, scalar(-0.4222474803054437)))), div(div(div(x, sign(add(cos(scalar(-0.6046307069018759)), x))), add(sub(scalar(-0.8447842489862631), scalar(-0.34945985145244496)), div(x, scalar(-0.4222474803054437)))), add(cos(scalar(-0.6046307069018759)), x))), scalar(-0.4222474803054437))))), div(div(sign(add(scalar(-0.34945985145244496), div(x, scalar(-0.4222474803054437)))), div(y, cos(scalar(-0.6046307069018759)))), sub(mult(x, scalar(-0.4222474803054437)), sub(y, scalar(-0.04088180554544718))))), sign(tan(cos(scalar(-0.6046307069018759))))))"
