[d_loss, g_loss]
1.4126363,-1.4126363
1.4005358,-1.4005358
1.415447,-1.415447
1.4092276,-1.4092276
1.3912419,-1.3912419
1.3712424,-1.3712424
1.3755541,-1.3755541
1.3843325,-1.3843325
1.3681567,-1.3681567
1.3603578,-1.3603578
1.391677,-1.391677
1.405972,-1.405972
1.3997724,-1.3997724
1.4320455,-1.4320455
1.3784311,-1.3784311
1.3863429,-1.3863429
1.3907447,-1.3907447
1.3651958,-1.3651958
1.358911,-1.358911
1.3026284,-1.3026284
1.3364518,-1.3364518
1.3319377,-1.3319377
1.3329387,-1.3329387
1.347548,-1.347548
1.3181902,-1.3181902
1.4307404,-1.4307404
1.390927,-1.390927
1.3709911,-1.3709911
1.3068125,-1.3068125
1.3308194,-1.3308194
1.3413984,-1.3413984
1.2821912,-1.2821912
1.2639565,-1.2639565
1.2798319,-1.2798319
1.2330861,-1.2330861
1.3021259,-1.3021259
1.3780234,-1.3780234
1.3633711,-1.3633711
1.4158981,-1.4158981
1.332067,-1.332067
1.287811,-1.287811
1.3867526,-1.3867526
1.4968225,-1.4968225
1.4136643,-1.4136643
1.4538596,-1.4538596
1.3717346,-1.3717346
1.4573267,-1.4573267
1.4339439,-1.4339439
1.4219742,-1.4219742
1.4293303,-1.4293303
1.3501136,-1.3501136
1.3854258,-1.3854258
1.293772,-1.293772
1.3446877,-1.3446877
1.3329908,-1.3329908
1.3735124,-1.3735124
1.3612487,-1.3612487
1.4134052,-1.4134052
1.4244004,-1.4244004
1.382828,-1.382828
1.453746,-1.453746
1.4225575,-1.4225575
1.418558,-1.418558
1.4226797,-1.4226797
1.4143758,-1.4143758
1.3816898,-1.3816898
1.3779552,-1.3779552
1.3479977,-1.3479977
1.3615326,-1.3615326
1.3673459,-1.3673459
1.3839893,-1.3839893
1.3792421,-1.3792421
1.3919401,-1.3919401
1.4158928,-1.4158928
1.413902,-1.413902
1.4181539,-1.4181539
1.4548359,-1.4548359
1.4393504,-1.4393504
1.4239051,-1.4239051
1.4423393,-1.4423393
1.456332,-1.456332
1.4191556,-1.4191556
1.4219475,-1.4219475
1.397716,-1.397716
1.474729,-1.474729
1.5428042,-1.5428042
1.5532502,-1.5532502
1.5126369,-1.5126369
1.5286071,-1.5286071
1.515384,-1.515384
1.4970131,-1.4970131
1.4482341,-1.4482341
1.4571111,-1.4571111
1.3996952,-1.3996952
1.468086,-1.468086
1.4434807,-1.4434807
1.4150468,-1.4150468
1.4557416,-1.4557416
1.4167776,-1.4167776
1.433563,-1.433563
1.4358768,-1.4358768
1.4490638,-1.4490638
1.3865869,-1.3865869
1.4338655,-1.4338655
1.4398544,-1.4398544
1.4350288,-1.4350288
1.4353428,-1.4353428
1.3587978,-1.3587978
1.4089158,-1.4089158
1.3802612,-1.3802612
1.4649827,-1.4649827
1.5191517,-1.5191517
1.4737252,-1.4737252
1.5387437,-1.5387437
1.4972146,-1.4972146
1.4651785,-1.4651785
