[d_loss, g_loss]
1.4257529,-1.4257529
1.368923,-1.368923
1.3553259,-1.3553259
1.3399361,-1.3399361
1.3177788,-1.3177788
1.3190886,-1.3190886
1.3733062,-1.3733062
1.3439478,-1.3439478
1.3933697,-1.3933697
1.3982975,-1.3982975
1.4178809,-1.4178809
1.4275275,-1.4275275
1.4263839,-1.4263839
1.3284125,-1.3284125
1.3782787,-1.3782787
1.4007895,-1.4007895
1.3429615,-1.3429615
1.3570955,-1.3570955
1.347383,-1.347383
1.2964509,-1.2964509
1.3140671,-1.3140671
1.2916902,-1.2916902
1.3053505,-1.3053505
1.2545944,-1.2545944
1.2628996,-1.2628996
1.3233013,-1.3233013
1.3124412,-1.3124412
1.3263583,-1.3263583
1.2643473,-1.2643473
1.3786823,-1.3786823
1.2388675,-1.2388675
1.2689433,-1.2689433
1.2599604,-1.2599604
1.2932513,-1.2932513
1.2152635,-1.2152635
1.2470782,-1.2470782
1.3209717,-1.3209717
1.390376,-1.390376
1.3200808,-1.3200808
1.2610319,-1.2610319
1.269506,-1.269506
1.2334882,-1.2334882
1.2881145,-1.2881145
1.2938901,-1.2938901
1.2482743,-1.2482743
1.2537296,-1.2537296
1.3314627,-1.3314627
1.3205614,-1.3205614
1.3348447,-1.3348447
1.4209007,-1.4209007
1.275649,-1.275649
1.3619109,-1.3619109
1.3659825,-1.3659825
1.338636,-1.338636
1.3915588,-1.3915588
1.2509446,-1.2509446
1.3180158,-1.3180158
1.3646159,-1.3646159
1.320084,-1.320084
1.2954346,-1.2954346
1.3554846,-1.3554846
1.4537191,-1.4537191
1.4099982,-1.4099982
1.2733562,-1.2733562
1.369972,-1.369972
1.3667042,-1.3667042
1.2660393,-1.2660393
1.2630852,-1.2630852
1.3609915,-1.3609915
1.2747021,-1.2747021
1.4147193,-1.4147193
1.2021785,-1.2021785
1.3548043,-1.3548043
1.3445828,-1.3445828
1.3148465,-1.3148465
1.333642,-1.333642
1.3018634,-1.3018634
1.3401923,-1.3401923
1.3417034,-1.3417034
1.3142302,-1.3142302
1.3367784,-1.3367784
1.3735476,-1.3735476
1.3989105,-1.3989105
1.2303605,-1.2303605
1.3158976,-1.3158976
1.2769473,-1.2769473
1.3094922,-1.3094922
1.2997482,-1.2997482
1.3153677,-1.3153677
1.4060133,-1.4060133
1.4270185,-1.4270185
1.423089,-1.423089
1.4251735,-1.4251735
1.4547787,-1.4547787
1.3478979,-1.3478979
1.408437,-1.408437
1.2905276,-1.2905276
1.3823092,-1.3823092
1.324779,-1.324779
1.4249238,-1.4249238
1.3265284,-1.3265284
1.3513753,-1.3513753
1.3052069,-1.3052069
1.2571031,-1.2571031
1.3428209,-1.3428209
1.3124847,-1.3124847
1.307673,-1.307673
1.3269904,-1.3269904
1.3832927,-1.3832927
1.4002049,-1.4002049
1.3099483,-1.3099483
1.3576456,-1.3576456
1.3343616,-1.3343616
1.3516481,-1.3516481
1.3647983,-1.3647983
1.4731755,-1.4731755
1.481819,-1.481819
1.4753346,-1.4753346
1.4111409,-1.4111409
1.5318098,-1.5318098
1.4099256,-1.4099256
1.4000852,-1.4000852
1.4729276,-1.4729276
1.3461881,-1.3461881
1.3519869,-1.3519869
1.3632934,-1.3632934
1.3458982,-1.3458982
1.3491459,-1.3491459
1.3650753,-1.3650753
1.3897427,-1.3897427
1.3516102,-1.3516102
1.4783564,-1.4783564
1.3462391,-1.3462391
1.4640048,-1.4640048
1.4213376,-1.4213376
1.4694479,-1.4694479
1.5178206,-1.5178206
